87,湖北省,大冶市,,金牛镇,湖北大冶市金牛镇祝铺小学,,2013,,,625,,张三,校长,13888888888,
88,湖  南,,,,湖南吉首市泸溪县浦市镇三星希望小学,,2006,,,34,,张三,校长,13888888888,
89,湖  南,,,,湖南邵阳市新宁县麻林瑶族乡三星希望小学,,2007,,,308,,张三,校长,13888888888,
90,湖  南,,,,湖南邵阳市隆回县西洋江镇三星希望学校,,2008,,,917,,张三,校长,13888888888,
91,湖  南,,,,湖南张家界市桑植县竹坪乡三星希望小学,,2010,,,306,,张三,校长,13888888888,
92,湖  南,,,,湖南岳阳市平江县瓮江镇三星希望小学,,2012,,,549,,张三,校长,13888888888,
93,湖  南,,,,湖南娄底市双峰县印塘乡三星希望小学,,2012,,,1182,,张三,校长,13888888888,
94,广  西,,,,广西南宁市横县南乡镇三星希望小学,,2006,,,150,,张三,校长,13888888888,
95,广  西,,,,广西贺州市昭平县五将镇三星希望小学,,2007,,,58,,张三,校长,13888888888,
96,广  西,,,,广西玉林市博白县文地镇三星希望小学,,2008,,,1729,,张三,校长,13888888888,
97,广  西,,,,广西河池市都安瑶族自治县拉仁乡三星希望小学,,2008,,,90,,张三,校长,13888888888,
98,广  西,,,,广西柳州市融水苗族自治县安太乡三星希望小学,,2013,,,661,,张三,校长,13888888888,
99,广  西,,,,广西崇左市扶绥县柳桥镇中心小学,,2013,,,1179,,张三,校长,13888888888,
100,海　南,,,,海南省琼中县上安乡中心小学,,2015,,建设中,465,,张三,校长,13888888888,
101,重  庆,,,,重庆石柱县沿溪镇三星希望小学,,2008,,,248,,张三,,13888888888,
102,重  庆,,,,重庆云阳县平安镇三星希望小学,,2009,,,84,,张三,校长,13888888888,
103,重  庆,,,,重庆市垫江县永安镇三星希望小学,,2010,,,1200,,张三,教师,13888888888,
104,四  川,,,,四川自贡市大安区牛佛镇三星希望小学,,2006,,,116,,张三,校长,13888888888,
105,四  川,,,,四川广元市旺苍县鼓城乡三星希望小学,,2007,,,130,,张三,校长,13888888888,
106,四  川,,,,四川南充市嘉陵区临江镇三星希望小学,,2010,,,421,,张三,校长,13888888888,
107,四  川,,,,四川南充市南部县大堰乡三星希望小学                         ,,2012,,,517,,张三,副校长,13888888888,
108,四  川,,,,四川夹江县龙沱乡三星希望小学,四川乐山市夹江县龙沱乡中心小学,2013,,,208,,张三,校长,13888888888,
109,贵  州,,,,贵州铜仁市江口县双江镇三星希望小学,,2006,,已撤并,2753,,张三,教师,13888888888,
